fecha,real,predicción
2024-12-31,61285.0,271423.78
2025-01-01,466950.0,389468.4
2025-01-02,495769.0,391290.28
2025-01-03,249488.0,434884.22
2025-01-04,138887.0,196773.34
2025-01-05,527406.0,449441.94
2025-01-06,536033.0,395575.0
2025-01-07,682910.0,292270.94
2025-01-08,535625.0,266261.75
2025-01-09,500322.0,461167.1
2025-01-10,243771.0,301366.66
2025-01-11,131390.0,230430.34
2025-01-12,495771.0,432808.0
2025-01-13,521507.0,429408.5
2025-01-14,502956.0,474118.22
2025-01-15,480967.0,430771.22
2025-01-16,467885.0,408979.06
2025-01-17,226215.0,426951.53
2025-01-18,104790.0,292704.88
2025-01-19,498955.0,507480.28
2025-01-20,530839.0,391083.78
2025-01-21,505871.0,547486.1
2025-01-22,476090.0,347286.16
2025-01-23,467316.0,476816.8
2025-01-24,239757.0,499946.38
2025-01-25,130139.0,213672.47
2025-01-26,484355.0,346581.28
2025-01-27,465225.0,405357.34
2025-01-28,532623.0,504042.78
2025-01-29,522380.0,524131.1
2025-01-30,508854.0,507146.75
2025-01-31,340138.0,508733.9
2025-02-01,120152.0,169896.75
2025-02-02,492796.0,559381.3
2025-02-03,531911.0,546808.5
2025-02-04,459079.0,546707.6
2025-02-05,599129.0,439983.0
2025-02-06,552952.0,357682.47
2025-02-07,350760.0,403605.62
2025-02-08,143527.0,154678.11
2025-02-09,519923.0,458704.12
2025-02-10,525084.0,557432.5
2025-02-11,605023.0,541644.6
2025-02-12,607179.0,454666.7
2025-02-13,557227.0,562349.75
2025-02-14,266452.0,439506.88
2025-02-15,140442.0,165818.58
2025-02-16,566253.0,524210.12
2025-02-17,609223.0,598466.5
2025-02-18,603677.0,535519.2
2025-02-19,611805.0,520668.34
2025-02-20,548282.0,548125.56
2025-02-21,249400.0,506488.94
2025-02-22,133246.0,66714.29
2025-02-23,561133.0,546741.3
2025-02-24,618111.0,576633.3
2025-02-25,617133.0,575286.2
2025-02-26,637366.0,422814.34
2025-02-27,575434.0,581149.06
2025-02-28,278226.0,506624.78
2025-03-01,136688.0,382914.22
2025-03-02,138479.0,598982.8
2025-03-03,170588.0,613874.1
2025-03-04,503665.0,657981.7
2025-03-05,609944.0,737224.44
2025-03-06,603659.0,552200.94
2025-03-07,367990.0,475576.78
