fecha,feriados
2013-01-01,1
2013-03-01,1
2013-04-01,1
2013-05-01,2
2013-06-01,1
2013-07-01,1
2013-12-01,1
2014-01-01,1
2014-03-01,1
2014-04-01,1
2014-05-01,2
2014-06-01,1
2014-07-01,1
2014-12-01,1
2015-01-01,1
2015-03-01,1
2015-04-01,1
2015-05-01,2
2015-06-01,1
2015-07-01,1
2015-12-01,1
2016-01-01,1
2016-03-01,1
2016-04-01,1
2016-05-01,2
2016-06-01,1
2016-07-01,1
2016-12-01,1
2017-01-01,1
2017-03-01,1
2017-04-01,1
2017-05-01,2
2017-06-01,1
2017-07-01,1
2017-12-01,1
2018-01-01,1
2018-03-01,1
2018-04-01,1
2018-05-01,2
2018-06-01,1
2018-07-01,1
2018-12-01,1
2019-01-01,1
2019-03-01,1
2019-04-01,1
2019-05-01,2
2019-06-01,1
2019-07-01,1
2019-12-01,1
2020-01-01,1
2020-03-01,1
2020-04-01,1
2020-05-01,2
2020-06-01,1
2020-07-01,1
2020-12-01,1
2021-01-01,1
2021-03-01,1
2021-04-01,1
2021-05-01,2
2021-06-01,1
2021-07-01,1
2021-12-01,1
2022-01-01,1
2022-03-01,1
2022-04-01,1
2022-05-01,2
2022-06-01,1
2022-07-01,1
2022-12-01,1
2023-01-01,1
2023-03-01,1
2023-04-01,1
2023-05-01,2
2023-06-01,1
2023-07-01,1
2023-12-01,1
2024-01-01,1
2024-03-01,1
2024-04-01,1
2024-05-01,2
2024-06-01,1
2024-07-01,1
2024-12-01,1
2025-01-01,1
2025-03-01,1
2025-04-01,1
2025-05-01,2
2025-06-01,1
2025-07-01,1
2025-12-01,1
