fecha,lluvia_mm
2013-06-01,8.6
2013-07-01,78.2
2013-08-01,6.800000000000001
2013-09-01,102.4
2013-10-01,27.5
2013-11-01,163.6
2013-12-01,39.7
2014-01-01,180.6
2014-02-01,297.7
2014-03-01,148.2
2014-04-01,77.89999999999999
2014-05-01,83.3
2014-06-01,66.89999999999999
2014-07-01,114.9
2014-08-01,45.1
2014-09-01,118.7
2014-10-01,148.7
2014-11-01,172.4
2014-12-01,81.89999999999999
2015-01-01,113.3
2015-02-01,24.5
2015-03-01,45.5
2015-04-01,38.599999999999994
2015-05-01,39.1
2015-06-01,34.9
2015-07-01,54.800000000000004
2015-08-01,116.8
2015-09-01,41.7
2015-10-01,32.7
2015-11-01,100.9
2015-12-01,54.9
2016-01-01,23.400000000000002
2016-02-01,119.2
2016-03-01,61.3
2016-04-01,287.20000000000005
2016-05-01,24.5
2016-06-01,31.299999999999997
2016-07-01,137.9
2016-08-01,23.9
2016-09-01,56.1
2016-10-01,137.8
2016-11-01,58.0
2016-12-01,112.4
2017-01-01,104.39999999999999
2017-02-01,140.3
2017-03-01,48.800000000000004
2017-04-01,68.4
2017-05-01,119.0
2017-06-01,24.6
2017-07-01,148.4
2017-08-01,70.0
2017-09-01,121.8
2017-10-01,91.1
2017-11-01,35.7
2017-12-01,62.4
2018-01-01,38.7
2018-02-01,17.8
2018-03-01,54.2
2018-04-01,134.5
2018-05-01,225.2
2018-06-01,24.2
2018-07-01,96.7
2018-08-01,53.1
2018-09-01,121.19999999999999
2018-10-01,46.2
2018-11-01,150.6
2018-12-01,179.1
2019-01-01,158.5
2019-02-01,61.0
2019-03-01,139.9
2019-04-01,54.1
2019-05-01,86.69999999999999
2019-06-01,201.6
2019-07-01,76.1
2019-08-01,51.6
2019-09-01,21.1
2019-10-01,191.0
2019-11-01,50.6
2019-12-01,94.8
2020-01-01,79.2
2020-02-01,14.5
2020-03-01,120.7
2020-04-01,105.3
2020-05-01,15.7
2020-06-01,73.3
2020-07-01,39.2
2020-08-01,34.8
2020-09-01,65.3
2020-10-01,113.1
2020-11-01,24.8
2020-12-01,48.7
2021-01-01,105.2
2021-02-01,117.6
2021-03-01,164.4
2021-04-01,98.2
2021-05-01,75.1
2021-06-01,21.5
2021-07-01,42.3
2021-08-01,36.0
2021-09-01,143.0
2021-10-01,29.1
2021-11-01,130.1
2021-12-01,42.3
2022-01-01,105.3
2022-02-01,142.7
2022-03-01,132.8
2022-04-01,63.4
2022-05-01,20.5
2022-06-01,2.6
2022-07-01,65.2
2022-08-01,11.1
2022-09-01,38.4
2022-10-01,47.7
2022-11-01,41.2
2022-12-01,47.1
2023-01-01,41.0
2023-02-01,19.900000000000002
2023-03-01,139.8
2023-04-01,83.60000000000001
2023-05-01,105.5
2023-06-01,24.6
2023-07-01,54.699999999999996
2023-08-01,53.2
2023-09-01,50.6
2023-10-01,67.3
2023-11-01,122.0
2023-12-01,154.1
2024-01-01,44.9
2024-02-01,101.4
2024-03-01,276.9
2024-04-01,143.9
2024-05-01,21.2
2024-06-01,56.7
2024-07-01,14.799999999999999
2024-08-01,159.7
2024-09-01,20.1
2024-10-01,74.0
2024-11-01,140.0
2024-12-01,43.2
2025-01-01,48.8
2025-02-01,117.5
2025-03-01,241.70000000000002
2025-04-01,110.4
2025-05-01,199.1
2025-06-01,31.3
2025-07-01,34.1
2025-08-01,124.0
2025-09-01,94.7
2025-10-01,94.8
2025-11-01,89.5
2025-12-01,47.5
